rid	LJP007_NEU_24H:A03	LJP007_NEU_24H:A04
100	1.84885525703	1.94844174385
1000	-1.82643795013	-1.21275746822
10000	-2.334025383	-0.479116797447
10001	-1.64046013355	-0.213787555695
10003	-0.924639761448	-1.03075551987
10004	0.527866840363	1.44069004059
10005	1.18598914146	-0.912757277489
10006	-1.7802656889	-0.629296064377
10007	0.418153762817	0.789044260979
10009	-0.97703397274	2.03904914856
1001	-0.0044078156352	0.320574879646
10010	-1.27036786079	-0.199530169368
100126791	1.2988255024	1.04839110374
100128640	0.741047799587	1.55275070667
100129250	1.08792471886	0.402228474617
100129460	0.186161965132	1.67674207687
100129482	-0.672182440758	1.48137378693
10013	-0.0712122619152	-1.21694278717
100131755	-0.174905121326	0.932446479797
100132341	0.621260523796	0.266915202141
